review,sentiment
"When it comes down to fairy tales, Cinderella was the one that made you cry the most. poor Cinderella is a girl who had her whole life stolen by 2 evil and ugly stepsisters and a slave-driving step-mother. and thanks to Mr. Walt Disney, We got to witness Cinderella in animation.<br /><br />Before the story begins, Cinderella and her father are lonely, and rich beyond their needs. to share his wealth and to give his daughter some sisters, Cinderella's Dad marries a woman, but then dies soon after. the stepmother, only seeing dollar signs in her eyes and slavery in her gorgeous step-daughter, Cinderella.<br /><br />So for many days, Cinderella is a slave to her step-mother and her step-sisters. she has hope however, thanks to her friends, the mice of the home (sounds like Cinderella wasn't playing with a full deck.) she has hope that one day she'll find her prince. the chance eventually comes when the prince of the kingdom needs a girlfriend.<br /><br />9/10",positive
"as i said in the other comment this is one of the best teen movies of all time,and one of my personal favorites. to me this movie is the second best teen movie of all time. second only to the breakfast club. the last american virgin is also maybe the most honest teen movie of all time. it's underrated,and pretty much an unknown movie to a lot of people. it comes on TBS maybe once a year,but sometimes longer. the first half of this movie is a sex comedy with a few honest scenes. then the second half is pure honest,and most of the time serious. with only a few comic scenes. in my opinion this is the best soundtrack of all time. i've never heard this many great songs in one movie before. there are 4 love songs in this movie that i think are some of the best love songs in history. the movie is about a pizza boy named gary who is a virgin. hes in high school who has a couple of best friends. his two friends are sex-sarved teens. the first half of the movie is pretty much sexual misadventures. that are very funny. gary is major in love with the new girl in school. he later finds out that his best friend is going out with her. he also cheats on the side. you can feel the love gary has for this girl very much. you can feel it even more in the second half. gary's friend turns out to be a creep. but his other friend is pretty cool. the movie shows how mean people can be. you can relate to a lot of this movie. the plot sounds like your typcial teen sex comedy. but it's so much more than that. it's a very honest movie. it's also very 80ish which i love. if you love the 80's or grew-up in the 80's,rent this movie. but there may be some people that don't like the 80's,but still may like this movie. i first saw this movie back in 1987 i think. it's very entertaining,and very funny. it combines very touching moments with very funny moments. it's an underrated gem! i have the movie. i love it! i give the last american virgin ***1/2 out of ****",positive
"The film version of Alice Walker's hugely emotive and influential 1983 novel (written largely as letters from the central character Celie to God) was a massive Oscar success, and rightly so.<br /><br />In the role of the abused and awakened Celie, Whoopi Goldberg gave her best screen performance by miles. Not far behind her was Oprah Winfrey as Sofia, the fiery woman tamed by fate. Others in the cast fleshed out the characters Walker had introduced so clearly on the page - Danny Glover as Albert, Celie's abusive husband; Margaret Avery as Shug, a force of change for the good; Willard Pugh and Rae Dawn Chong as Harpo and Squeak; Susan Beaubian as Corrine, the preacher's wife; and the much-missed Carl Anderson (otherwise best known as Judas in the 1973 film of Jesus Christ Superstar) as preacher Samuel.<br /><br />Beautifully paced and sensitively written, 'The Color Purple' does justice to its source while opening out the story to involve viewers of a feature-length drama.",positive
"My mom always told me to sit down and to actually watch this movie because it's one of her favorites, I never did for years until I caught one night on TV. This movie was great, I don't even know how to explain it. Not only is the cast excellent (Julia Roberts, Keifer Sutherland, Kevin Bacon, William Baldwin, and Oliver Platt) but the story is awesome. It's freaky but not too scary and it makes you think. I was left speechless after this film and amazed of how good of actors and actress all five of these people really are. Where did William Baldwin go, he's great. This film is a must see for anyone, if you haven't seen it go rent it, you will not be sorry. Amazing!",positive
Strong evidences and it clearly shows government cover-ups and lies. Very convincing documentary. A little bias but it hit hard on the government. I'm not very remorsed about the adults but the children............. it's very sad. Strong evidences and it clearly shows government cover-ups and lies. Very convincing documentary. A little bias but it hit hard on the government. I'm not very remorsed about the adults but the children............. it's very sad. Strong evidences and it clearly shows government cover-ups and lies. Very convincing documentary. A little bias but it hit hard on the government. I'm not very remorsed about the adults but the children............. it's very sad.,positive
"First of all, Katherine Hepburn is badly miscast as Clara. She just can't be convincing as the devoted, selfless, rather smarmy wife that the writers have created.<br /><br />But the real weakness of the film is its shallowness in the face of a potentially great piece of drama. Schumann's bipolar (manic-depressive) disorder amounts to ""Oh, oh, I have a headache"" and the occasional angry word. Suicide? The word is used, but there's no sign of it in domestic scenes and when we see him in the mental hospital he's calm and subdued and smiling and optimistic. A superficial treatment. And Brahms is so upright and bourgeois - no sign of his gruff humour, his love of tweaking the noses of the establishment, no sign of his tortured attitude toward sex and women resulting from spending his youth playing piano in brothels. And was Clara's long concert career entirely about promoting Robert's music, or was she, in fact, a remarkable pianist who wanted a career for herself, a female pianist carving out a place for herself in a male world? Any sort of treatment of the lives of great artists is better than none, but this is a standard Hollywood, middle-of-the-road approach, particularly disappointing because the real story is so much more dramatic, so much more interesting, so much more human.",negative
"Another great Tom Wilkinson performance punctuates ""Separate Lies,"" a 2005 film also starring Emily Watson, Linda Bassett and Rupert Everett. Directed by Julian Fellowes, it's the story of a married couple, James and Ann Manning where the husband (Wilkinson) believes he and his wife (Watson) are happy together. An accident near their house on the night they have a party brings the police around. It is a hit and run that killed their maid Maggie's Bassett) husband. James becomes suspicious of a neighbor, Bill Bule (Everett) when he sees some damage on his car. He confronts Bule, who admits he did it and promises to go to the police the next day. When James arrives home, Ann is angry that he is making such a big deal out of it and states that she was driving the car. Of course, James then isn't so eager to rush to the police. She suggests that they call Bule and tell him their decision. ""Oh, f___ Bule,"" James says. ""Well, that's just it,"" Ann says. ""I am f___ing Bule."" James' devastation is just the beginning in this well-crafted drama. Without giving the plot away, this is a good example of how gender switching changes a story. Example of what I mean: Susan Smith drives her car into a lake and her children drown. She gets life in prison. What if the father had done it? The chair. You'd be surprised how often the outcome would be different. The same is true here - if it had been James having the affair and doing the subsequent activities, viewers might feel differently about the story. If Ann were in James' place, it would be shattering. As it is, it's tremendously sad.<br /><br />Tom Wilkinson is heartbreaking as a man blindsided by the woman he adores, and Emily Watson does a beautiful job as Ann, who, once she frees herself from her lies - her involvement in the accident and the happy marriage - knows what she has to do. Rupert Everett as Bule is very effective - indolent, uppity and ultimately in need. Everyone here is very civilized in their dealings with one another, and no one is all good or all bad.<br /><br />There are separate lies - James that his marriage is happy, Ann's as listed above - and there is one uniting lie - the accident, about which all parties keep quiet. It's enough for Ann that Maggie knows. In the end, all must deal with the separate lies that the single lie uncovered.<br /><br />Brilliant film.",positive
"Fata Morgana, the 1971 documentary-like film by German filmmaker extraordinaire Werner Herzog, filmed over several years in the late 1960s, is one of those rare DVDs that should be listened to with the commentary turned on. It is a visual feast of North African (mostly Saharan) imagery that is timeless. You simply could not tell that it was made over thirty-five years ago. The soundtrack to the film, including German classical music (Mozart and Handel), and rock music by Blind Faith and Leonard Cohen, also lends its timeless quality. The narration by three different German narrators (German film historian Lotte Eisner, Eugen Des Montagnes, and Wolfgang von Ungern-Sternberg) is solid, and Herzog goes on and on of Eisner's import to this project, himself, and film history, but the English speaker of the translation, James William Gledhill, has a voice that seems downright deific, which lends itself far more perfectly to this project, even though much of the text- in either language, is rather superfluous. Yes, the faux Biblical sounds of the Popul Vuh Mayan creation myth in the film's first part, Creation, is interesting, but the text Herzog wrote for the remaining two parts (Paradise and The Golden Age), along with quotes from a German poet Herzog names as Manfred Eigendorf, almost seems a satire of the first part's somber tone. The film, it seems was pieced together during the shooting of several other Herzog projects concurrently- the fictive Even Dwarfs Started Small, and the documentaries The Land Of Silence And Darkness and The Flying Doctors Of East Africa, but these projects' rejected material only add to the beauty of this film, such as aerial scenes of a flamingo mating lake from afar that give one an eerie unearthly sense, one which Herzog crows about in his commentary. This unearthly feel is present right from the film's start of several airplanes landing on a desert runway, with their images getting successively blurrier as the heat from the ground rises, and increases the distorting waves that mar the images. That this film was influential in the Quatsi films of Godfrey Reggio is an understatement. But, whereas Reggio is content to just toss images at you, Herzog has an ability that only American filmmaker Terrence Malick also has: to make a wholly self-contained vocabulary out of the juxtaposition of images and words, and one dependent upon an emotion-first thrust. Analysis can fail when brought to such endeavors. Herzog often does not understand even why his art is great. The best he does often is wholly unconscious and mesmeric. This is why his contempt for the Lowest Common Denominator pap of Hollywood is openly stated on the commentary.<br /><br />Perhaps the best illustration of this comes in a scene that, on the commentary, Herzog tells us followed a severe drought in Cameroon. It shows the jerkied carcasses of cattle, and Herzog describes the unbearable stench. Yet, the viewer can sense this all from the images, the blackness of the sun dried portions of animals, and the blanched bones. Yet, even in that commentary, Herzog focuses on the stench, not any deeper meaning. He is content to let you imbue and interpret what you will into and of his work, such as the almost erotically feminized shapes of sand dunes, which recalls a scene from Ingmar Bergman's Hour Of The Wolf, where Max Von Sydow, runs his hand over Ingrid Thulin's beautiful nude body's curves. But, the archetypal image in this film, which symbolizes much of Herzog's career, is of a mirage of a faraway car driving back and forth on the surface of what appears to be a lake. It is deep, hypnotic, illusive, elusive, supernatural, yet real, just as Herzog, the believer who came from a family of militant atheists, is. But, then, like everything else, it ends.",positive
"Orson Welles' ""The Lady From Shanghai"" does not have the brilliant screenplay of ""Citizen Kane,"" e.g., but Charles Lawton, Jr.'s cinematography, the unforgettable set pieces (such as the scene in the aquarium, the seagoing scene featuring a stunning, blonde-tressed Rita Hayworth singing ""Please Don't Love Me,"" and the truly amazing Hall of Mirrors climax), and the wonderful cast (Everett Sloane in his greatest performance, Welles in a beautifully under-played role, the afore-mentioned Miss Hayworth--Welles' wife at the time--at her most gorgeous) make for a very memorable filmgoing experience. The bizarre murder mystery plot is fun and compelling, not inscrutable at all. The viewer is surprised by the twists and turns, and Welles' closing line is an unheralded classic. ""The Lady From Shanghai"" gets four stars from this impartial arbiter.",positive
This movie is very well done although the ending is given away too early in the film. The four elderly men in the restaurant are what makes this film fun to watch. Minnie Driver is a very talented actress and comes across wonderfully on screen.,positive
"I cannot believe how popular this show is. I consider myself an avid sci-fi fan. I have read countless sci-fi novels and have enjoyed many sci-fi movies and TV shows. I really wouldn't even consider this true sci-fi. Every episode I have sat through was like a lame, watered down version of a Star Trek episode, minus anything that might make it interesting or exciting.<br /><br />It's basically a bunch of people standing around in ARMY fatigues, talking about something boring, who occasionally go through the Stargate and end up on a planet that looks just like Earth, with people who look and sound just like Humans! It seemed extremely low budget. The characters are all forgettable one dimensional cutouts, and the many attempts at humor fall flat. It reminds me when you see a commercial with a famous athlete in it, trying to be funny, but he is not. It is just sad.<br /><br />The movie was terrible as well. There is so much you can do with a portal through space, yet every place the ARMY people go is BORING! This shows no imagination! I actually thought the TV series ""Alien Nation"" from a few years back (based on the movie Alien Nation) was much better. That show actually had good story lines and decent characters. I wasn't crazy about ""Alien Nation"", but compared to this overrated crap, it was great!<br /><br />Also, unlike the great new ""Battlestar Galactica"" series, ""Stargate"" copied the look and feel of the lame movie too closely! They should have at least updated the cheesy ""toilet flushing"" special effect of whenever somebody goes through the Stargate.",negative
"The movie was good. Really the only reason I watched it was Alan Rickman. Which he didn't pull off the southern accent,but he did pretty well with it.Know Emma Thompson did really good she definitely pulled off the southern accent. I like all the character in my opinion not one of them did bad,another thing I have notice. I have read all these comment and not one person has comment on Alan 5 0'clock shadow. Which made him look even better and he pretty much had one through the whole movie. I would give the movie a 9 out of 10. Another one of my opinions is the movie would been better if there wasn't any sex. Still it was alright. Love the scene were he says ""Aw sh*t"" when he is setting in his car and see them in his mirror.",positive
"Said to be inspired from Disney's The Little Mermaid, Ponyo on the Cliff by the Sea is Japanese animation master, Hayao Miyazaki's next big work after the well-received Spirited Away in 2001 and Howl's Moving Castle in 2004. In Ponyo, his signature style of animating fantasy realms and children characters are on display once again.<br /><br />Sosuke (Hiroki Doi), the boy lead in the film discovers a 'goldfish' trapped in a glass jar while playing by the seaside below the cliff. He stays with his mum, Lisa (Tomoko Yamaguchi) above and atop it. Sosuke shakes the jar forcefully to try and get the 'goldfish' out but the little 'goldfish' is stuck. He then tries to pull it out but it just cannot come loose. Sosuke then place the jar on the ground before smashing a small rock onto it, breaking it into pieces instantly while suffering a small cut on the finger. He then checks inquisitively to see if the 'goldfish' is still alive. As he observes it, the 'goldfish' reacts by licking the blood off his finger suddenly. Excited, Sosuke quickly rushes back to the house and put the 'goldfish' in a small bucket of water in hope that it will survive. It did and he named it 'Ponyo'(Yuria Nara).<br /><br />The above scene would signify what is to come for the remainder of the film. It is of the interactions between Sosuke and Ponyo. And it is one that Hayao Miyazaki did meticulously well in portraying. He must have a keen sense of observation and understanding of how children behave before he depicts this chemistry of communication between the two main characters. The behavior of the children would also extend into the rest of the film in their further encounters.<br /><br />The affection between Sosuke and Ponyo grew as the film progresses from the moment Sosuke brought Ponyo to school in Lisa's car. The best moment came when the two were reunited after a brief separation when Ponyo's father, Fujimoto (George Tokoro), a magical sea dweller recaptures the errant Ponyo before encapsulating her in a magic bubble with kind intention.<br /><br />Fujimoto who was once human has grown to refer humans with disgust for polluting the sea and stealing its life. But all Ponyo wants is to be human and be with Sosuke so for a second time she escapes, accidentally emptying his father's precious store of magical elixir into the sea, creating a storm of tidal waves and engulfing the small town in the process.<br /><br />What follows are the adventures of Sosuke and Ponyo in the flooded town.<br /><br />Is there a happily ever after in this one? Would true love prevail? You find out.<br /><br />Looking at the art in Ponyo on the Cliff by the Sea, there appears to be a deviation from Miyazaki's past works in terms of rendering. It looks unfamiliar because the environment apart from the characters at play in every scene is not colored in the usual fashion as in Spirited Away (2001) and Howl's Moving Castle (2004). The aesthetical appeal is discounted from what appears to be color penciled drawings. The objects and characters are also not as detailed as before.<br /><br />This is peculiar if taken on face value but from the way the story is written and told, the possible explanation is that Miyazaki is allowing the audience to view the film with a child's tint, yet allowing the adults to reminisce on a Japan when they were younger. This move could have prevented prospective moviegoers, new to Miyazaki's work to see it. The trailer did nothing to promote Ponyo as well. Taking the case to Japan however would be a different story as Miyazaki's credential far than exceed any marketing technique.<br /><br />In summary though, the whole did not equal to its parts. Aside from Miyazaki's ability to cast vivacious and animated characters, the film lacks elements of thrill and wonder when measured against previous works, resulting in a deficit of big screen presence.<br /><br />The sparks of Ponyo and Sosuke failed to light up the film in a big way but moments of warmth, kindness, and love can still be found in recognizing the film as one that is not made for the kids, but of the kids who everyone is or once was.",positive
"i just finished watching Dressed to Kill,which is written and directed by Brian De Palma.the DVD had both the""R"" rated version and the unrated version.i chose the unrated version.since i have yet to view the ""R"" rated version,i can't be completely sure of the difference.there is however a very graphic graphic female nudity including a scene of explicit expression of self gratification in this version.i guess you could call this scene soft core porn.if this sort of thing may offend you,i would suggest you view the ""R"" rated version.but i digress.Any comment from here on refers to the unrated version.this is a murder mystery/ psychological horror/suspense movie.there is very little violence and blood.there is however one death sequence of note.the act of the killing itself is fairly graphic.however the blood it self does not look real.it is reminiscent of how a 70's slasher film would look.i believe this is done deliberately to offset the violence of the act itself,to give the scene a low budget feel.most of the violence,or rather possibility of such,is implied.the film is very well paced.as far as i can tell every scene had a purpose,which i find very rare when compared to many of today's films. anyway,i also thought the acting was good,especially Angie Dickinson.and Micheal Cane turns in a quietly understated performance in his role,which works brilliantly in this case.the movie also has one great twist in it,in my mind,although some people might find it predictable.the only complaint(and it's really more of an observation)i have is that i thought the character played by Nancy Allen could have been fleshed out more,especially considering she has a fair amount of screen time.but i think she does a good job with what she is given.and this doesn't really take away from the quality of the film.the film also has a strong moral to it,which is even more relevant today.but the movie doesn't hit you over the head with it.i also really liked the musical score,composed by Pino Dinaggioi felt it was very similar to the music in the original Psycho.to me,this music really elevated the movie.i thought this movie was brilliant.for me,Dressed to Kill(1980)is 10/10",positive
"I am Anthony Park, Glenn Park is my father. First off I want to say that the story behind this movie and the creation of the Amber Alert system is a good one. However the movie itself was poorly made and the acting was terrible. The major problem I had with the movie involved the second half with Nichole Timmons and father Glenn Park. The events surrounding that part of the story were not entirely correct. My father was suffering from psychological disorders at the time and picked up Nichole without any intent to harm her at all. He loved her like a daughter and was under the mindset that he was rescuing her from some sort of harm or neglect that he likely believed was coming from her mother who paid little attention to her over the 3 plus years that my father took care of her and summarily raised her so her mother could frolic about. The movie depicted my father in a manner that he was going to harm her in some way shape or form. The funny thing is that Nichole had spent many nights sometimes consecutively at my fathers place while Sharon would be working or doing whatever she was doing. The reason that my father was originally thought to be violent was because he had items that could be conceived to be weapons on his truck. My father was a landscaper. The items they deemed to be weapons were landscaping tools that he kept in his truck all the time for work. My recommendation is take this movie with a grain of salt, it is a good story and based on true events however the details of the movie (at least the Nichole Timmons - Glenn Park portion) are largely inaccurate and depict the failure of the director to discover the truth in telling the story. The funny thing is, that if the director would have interviewed any of Sharon's friends who knew the situation they would have stated exactly what I have posted here.",negative
